iter	Passed	Remaining
0	2	2596
1	11	5775
2	14	4688
3	23	5824
4	25	5077
5	39	6564
6	42	6002
7	51	6425
8	53	5927
9	63	6242
10	65	5912
11	67	5593
12	78	5975
13	81	5705
14	83	5470
15	95	5891
16	98	5686
17	109	5949
18	111	5758
19	114	5632
20	118	5507
21	122	5448
22	124	5276
23	125	5120
24	127	4974
25	129	4867
26	131	4741
27	132	4603
28	134	4498
29	135	4386
30	138	4339
31	140	4250
32	142	4167
33	143	4089
34	145	4022
35	147	3951
36	149	3896
37	151	3832
38	153	3791
39	155	3736
40	159	3738
41	161	3687
42	163	3638
43	165	3592
44	167	3549
45	170	3536
46	172	3494
47	174	3453
48	175	3413
49	177	3374
50	179	3336
51	181	3303
52	182	3268
53	184	3236
54	186	3205
55	188	3174
56	190	3144
57	192	3126
58	194	3097
59	195	3070
60	197	3045
61	199	3022
62	201	3002
63	203	2978
64	205	2954
65	207	2933
66	209	2911
67	210	2882
68	211	2859
69	214	2843
70	215	2823
71	218	2812
72	220	2796
73	222	2782
74	224	2768
75	226	2750
76	228	2733
77	229	2718
78	231	2702
79	233	2689
80	235	2673
81	237	2660
82	239	2645
83	241	2630
84	242	2614
85	244	2602
86	246	2589
87	248	2575
88	250	2563
89	252	2551
90	254	2538
91	255	2525
92	257	2512
93	259	2500
94	261	2491
95	263	2478
96	265	2468
97	267	2460
98	269	2450
99	271	2439
100	273	2429
101	274	2418
102	276	2407
103	278	2397
104	280	2387
105	282	2383
106	284	2378
107	286	2369
108	288	2360
109	290	2351
110	292	2341
111	294	2332
112	295	2323
113	300	2338
114	302	2331
115	304	2323
116	307	2317
117	310	2317
118	312	2315
119	314	2307
120	316	2298
121	318	2290
122	320	2282
123	321	2273
124	324	2268
125	325	2260
126	327	2251
127	329	2243
128	331	2235
129	332	2228
130	334	2221
131	336	2214
132	338	2205
133	340	2198
134	341	2190
135	343	2185
136	345	2173
137	347	2168
138	348	2161
139	350	2154
140	352	2147
141	354	2140
142	355	2133
143	357	2126
144	359	2119
145	361	2113
146	363	2110
147	366	2107
148	368	2102
149	370	2097
150	372	2091
151	373	2085
152	375	2079
153	377	2075
154	379	2069
155	381	2062
156	382	2056
157	384	2049
158	386	2043
159	388	2037
160	389	2032
161	391	2026
162	393	2022
163	395	2016
164	397	2010
165	399	2007
166	401	2001
167	402	1995
168	404	1990
169	406	1984
170	408	1979
171	411	1980
172	413	1977
173	415	1973
174	417	1969
175	419	1964
176	421	1959
177	423	1954
178	425	1949
179	427	1946
180	429	1944
181	431	1939
182	433	1935
183	435	1929
184	436	1924
185	438	1919
186	440	1914
187	442	1911
188	444	1906
189	446	1901
190	447	1896
191	449	1891
192	451	1886
193	453	1882
194	454	1877
195	456	1872
196	458	1869
197	460	1864
198	462	1860
199	463	1855
200	465	1851
201	467	1846
202	469	1842
203	470	1837
204	472	1833
205	474	1829
206	476	1826
207	478	1821
208	480	1817
209	481	1813
210	483	1808
211	485	1804
212	487	1800
213	489	1797
214	491	1794
215	493	1792
216	495	1788
217	497	1785
218	499	1781
219	501	1777
220	503	1773
221	504	1768
222	506	1765
223	508	1761
224	510	1757
225	511	1753
226	513	1749
227	515	1745
228	517	1741
229	519	1737
230	520	1733
231	522	1730
232	524	1726
233	526	1722
234	528	1718
235	529	1715
236	531	1711
237	533	1707
238	535	1703
239	537	1701
240	539	1699
241	541	1696
242	543	1692
243	545	1688
244	546	1685
245	548	1681
246	550	1677
247	552	1674
248	554	1671
249	556	1668
250	558	1666
251	560	1663
252	562	1660
253	564	1657
254	565	1653
255	567	1649
256	569	1646
257	571	1643
258	573	1639
259	574	1636
260	576	1632
261	578	1629
262	580	1626
263	582	1622
264	583	1619
265	586	1617
266	587	1613
267	589	1610
268	591	1606
269	593	1603
270	594	1600
271	596	1596
272	598	1593
273	600	1590
274	603	1590
275	604	1586
276	606	1583
277	608	1580
278	610	1577
279	612	1574
280	613	1570
281	615	1567
282	617	1564
283	619	1562
284	622	1561
285	624	1559
286	626	1556
287	628	1553
288	630	1550
289	631	1546
290	633	1543
291	635	1540
292	637	1537
293	639	1534
294	640	1531
295	642	1528
296	644	1525
297	646	1522
298	647	1519
299	649	1516
300	651	1513
301	653	1509
302	655	1506
303	656	1503
304	658	1500
305	660	1497
306	662	1494
307	663	1491
308	665	1488
309	667	1485
310	669	1482
311	671	1480
312	672	1477
313	674	1474
314	676	1471
315	678	1468
316	680	1465
317	682	1462
318	684	1460
319	686	1457
320	687	1454
321	689	1452
322	691	1449
323	693	1446
324	694	1443
325	696	1440
326	698	1438
